source,target,occurrences,origin_count,origins,article_count,glossary_like,ambiguous,ambiguous_targets,recommended_strategy,recommended_for_yaml
Cryo Archive,低温档案室,7,2,h3|strong,7,yes,no,低温档案室,force,yes
Codex,百科,6,2,h1|h2,6,yes,no,百科,force,yes
Armory,军械库,5,3,h1|h2|h3,5,yes,no,军械库,force,yes
CyberAcme,赛博艾克米,4,2,h3|strong,4,yes,no,赛博艾克米,force,yes
Outpost,前哨,4,2,h3|strong,4,yes,no,前哨,force,yes
Cores,核心,3,2,h3|strong,3,yes,no,核心,force,yes
Defender System,防御系统,3,1,strong,2,yes,no,防御系统,force,yes
Dire Marsh (Night),恐怖沼泽（夜间）,3,1,strong,3,yes,no,恐怖沼泽（夜间）,force,yes
Marathon Deluxe Edition,《失落星船：马拉松》豪华版,3,2,h3|strong,1,yes,no,《失落星船：马拉松》豪华版,force,yes
Marathon Standard Edition,《失落星船：马拉松》标准版,3,2,h3|strong,1,yes,no,《失落星船：马拉松》标准版,force,yes
NIGHTFALL,NIGHTFALL,3,1,strong,1,yes,no,NIGHTFALL,preserve,yes
Overrun,奔袭,3,1,strong,3,yes,no,奔袭,force,yes
Prey Tracker,猎物追踪器,3,1,strong,2,yes,no,猎物追踪器,force,yes
Runner Shells,疾行者外壳,3,2,h2|h3,3,yes,no,疾行者外壳,force,yes
Thief,盗贼,3,2,h3|strong,3,yes,no,盗贼,force,yes
Bounty Hunter,赏金猎人,2,1,strong,2,yes,no,赏金猎人,force,yes
BR33 Volley Rifle,BR33连发步枪,2,1,strong,2,yes,no,BR33连发步枪,force,yes
Castle Doctrine,城堡原则,2,1,strong,2,yes,no,城堡原则,force,yes
CE Tactical Sidearm,近战战术手枪,2,1,strong,2,yes,no,近战战术手枪,force,yes
Chips,芯片,2,2,h3|strong,2,yes,no,芯片,force,yes
Cloudborn,云裔,2,1,strong,2,yes,no,云裔,force,yes
Codex Challenges,百科挑战,2,2,h3|strong,1,yes,no,百科挑战,force,yes
Complex Control,综合设施控制区,2,2,h3|strong,1,yes,no,综合设施控制区,force,yes
Contracts in the Cold... Plus Rewards,寒冷合约…还有奖励,2,2,h2|strong,1,yes,no,寒冷合约…还有奖励,force,yes
Cradle Evolution System,摇篮进化系统,2,2,h3|strong,1,yes,no,摇篮进化系统,force,yes
Cryo Archive Increased Availability,低温档案室开放频次提升,2,2,h3|strong,1,yes,no,低温档案室开放频次提升,force,yes
Darkness Descends on Tau Ceti IV,暗夜降临天仓五IV,2,2,h2|strong,1,yes,no,暗夜降临天仓五IV,force,yes
Dire Marsh and Night Marsh Availability,恐怖沼泽与夜间沼泽的开放机制,2,2,h3|strong,1,yes,no,恐怖沼泽与夜间沼泽的开放机制,force,yes
Escalation in UESC Forces,UESC势力全面增兵,2,2,h3|strong,1,yes,no,UESC势力全面增兵,force,yes
Experimental Queues and Duos Queue,实验队列与双人队列,2,2,h2|strong,1,yes,no,实验队列与双人队列,force,yes
Faction Progression,阵营进度,2,2,h3|strong,1,yes,no,阵营进度,force,yes
Faction Progression and Contracts,阵营进度与合约,2,2,h2|strong,1,yes,no,阵营进度与合约,force,yes
Faction Progression Improvements,阵营进度优化,2,2,h3|strong,1,yes,no,阵营进度优化,force,yes
In-Game Notices,游戏内通知,2,2,h2|strong,1,yes,no,游戏内通知,force,yes
KKV-9SD,KKV-9SD,2,1,strong,2,yes,no,KKV-9SD,preserve,yes
Marathon Launch FAQ,《失落星船：马拉松》发布常见问题解答,2,2,h2|strong,1,yes,no,《失落星船：马拉松》发布常见问题解答,force,yes
MIDA,米达,2,2,h3|strong,2,yes,no,米达,force,yes
Misriah 2442,米斯利亚2442,2,1,strong,2,yes,no,米斯利亚2442,force,yes
NIGHTFALL is Coming,暮夜即将降临,2,2,h2|strong,1,yes,no,暮夜即将降临,force,yes
NuCaloric,纽卡洛里,2,2,h3|strong,2,yes,no,纽卡洛里,force,yes
Pistol,手枪,2,1,strong,1,yes,no,手枪,force,yes
Pistols,手枪,2,2,h3|strong,2,yes,no,手枪,force,yes
Precision Rifle,精密步枪,2,1,strong,1,yes,no,精密步枪,force,yes
Precision Rifles,精密步枪,2,2,h3|strong,2,yes,no,精密步枪,force,yes
Proximity Chat Toggle,近距离聊天切换,2,2,h3|strong,1,yes,no,近距离聊天切换,force,yes
Ranked Rewards for Season 1,第1赛季的排名模式奖励,2,2,h3|strong,1,yes,no,第1赛季的排名模式奖励,force,yes
Ranked Updates,排名模式更新,2,2,h2|strong,1,yes,no,排名模式更新,force,yes
Rifle/SMG,步枪/冲锋枪,2,1,strong,1,yes,no,步枪/冲锋枪,force,yes
Rifles,步枪,2,2,h3|strong,2,yes,no,步枪,force,yes
Rook,鲁克,2,2,h3|strong,2,yes,no,鲁克,force,yes
Runner Shells: Tools for Survival,疾行者外壳：生存工具,2,2,h1|strong,1,yes,no,疾行者外壳：生存工具,force,yes
Runners and Implants,疾行者和植入物,2,2,h2|strong,1,yes,no,疾行者和植入物,force,yes
Scoring and Contracts,Twitch掉落,2,2,h2|strong,1,yes,no,Twitch掉落,force,yes
Seasons Overview,赛季概览,2,2,h2|strong,1,yes,no,赛季概览,force,yes
Secure Sponsored Kits for Season 2,领取你的第2赛季专属赞助包,2,2,h3|strong,1,yes,no,领取你的第2赛季专属赞助包,force,yes
Sekiguchi Genetics,关口基因,2,2,h3|strong,2,yes,no,关口基因,force,yes
Signal Flares,信号弹,2,1,strong,2,yes,no,信号弹,force,yes
Snare Mine,陷阱地雷,2,1,strong,2,yes,no,陷阱地雷,force,yes
Social Media,社交媒体,2,2,h2|strong,1,yes,no,社交媒体,force,yes
Spend in the C.A.R.R.I. Armory,在C.A.R.R.I.军械库中使用,2,2,h3|strong,1,yes,no,在C.A.R.R.I.军械库中使用,force,yes
Sponsored Survival,赞助生存,2,1,strong,2,yes,no,赞助生存,force,yes
Teams,团队,2,2,h2|strong,1,yes,no,团队,force,yes
Twitch Sponsored Kit,Twitch赞助包,2,1,strong,2,yes,no,Twitch赞助包,force,yes
UESC,UESC,2,1,h3,2,yes,no,UESC,preserve,yes
Update 1.0.6 is Live,更新1.0.6已上线,2,2,h2|strong,1,yes,no,更新1.0.6已上线,force,yes
Update 1.0.9 Balance Changes,更新1.0.9游戏平衡性调整,2,2,h3|strong,1,yes,no,更新1.0.9游戏平衡性调整,force,yes
Vaults of the Marathon,马拉松号保险库,2,2,h2|strong,1,yes,no,马拉松号保险库,force,yes
ViDoc Highlights,视频记录亮点,2,2,h1|strong,1,yes,no,视频记录亮点,force,yes
Weapon Mods,武器模组,2,2,h2|strong,2,yes,no,武器模组,force,yes
"Weapons, Mods, and Chips",武器、模组与芯片,2,2,h3|strong,1,yes,no,武器、模组与芯片,force,yes
XBOX Series X|S,Xbox Series X|S,2,2,h3|strong,1,yes,no,Xbox Series X|S,preserve,yes
Accu-Sight Lens (Thermals),精瞄镜片（热成像）,1,1,strong,1,yes,no,精瞄镜片（热成像）,force,yes
Accu-Sight Optic,精瞄瞄具,1,1,strong,1,yes,no,精瞄瞄具,force,yes
Air-Cooled Chamber,风冷弹膛,1,1,strong,1,yes,no,风冷弹膛,force,yes
Alarmist,警报主义者,1,1,strong,1,yes,no,警报主义者,force,yes
Alarmist Chip,警报主义者芯片,1,1,strong,1,yes,no,警报主义者芯片,force,yes
AMMO,弹药,1,1,strong,1,yes,no,弹药,force,yes
Amplify,增幅,1,1,strong,1,yes,no,增幅,force,yes
ARMORY & BARTERING,军械库与交换,1,1,strong,1,yes,no,军械库与交换,force,yes
Assault Shields (LMG Shield mods),突击护盾（轻机枪护盾模组）,1,1,strong,1,yes,no,突击护盾（轻机枪护盾模组）,force,yes
Background Process,后台进程,1,1,strong,1,yes,no,后台进程,force,yes
Balanced Belt,平衡弹链,1,1,strong,1,yes,no,平衡弹链,force,yes
Balanced Mag,平衡弹匣,1,1,strong,1,yes,no,平衡弹匣,force,yes
Balanced Payload,平衡弹头,1,1,strong,1,yes,no,平衡弹头,force,yes
BFM,弹道枪械弹匣,1,1,strong,1,yes,no,弹道枪械弹匣,force,yes
Biotoxic Disinjector,生物毒素分离注射器,1,1,strong,1,yes,no,生物毒素分离注射器,force,yes
Blindside,制造盲点,1,1,strong,1,yes,no,制造盲点,force,yes
Blue Blood,蓝血,1,1,strong,1,yes,no,蓝血,force,yes
Brain Freeze,思维冻结,1,1,strong,1,yes,no,思维冻结,force,yes
Brain Freeze Chip,思维冻结芯片,1,1,strong,1,yes,no,思维冻结芯片,force,yes
BRRT,BRRT,1,1,strong,1,yes,no,BRRT,preserve,yes
